2901,VT1,VS11,,,,,,,VH,841194.244,816013.521,22.2830000,114.2246660,Typhoon shelter,"1990-01-18 00:00:00",N,N,2,10,251,290,251,EWP5,"2004-05-14 00:00:00",1,841194.244,816013.521
2902,VT2,VS12,,,,,VT2,5,V3m,837455.482,816408.294,22.2865670,114.1884000,Typhoon shelter,"1977-07-12 00:00:00",Y,N,3,15,173,291,173,EWP5,"2004-05-14 00:00:00",1,837456.674,816407.885
2903,VT3,VS13,,,,,VT3,5,V1m,842515.219,816878.279,22.2908000,114.2375000,Typhoon shelter,"1977-07-12 00:00:00",Y,N,3,13,175,292,175,EWP5,"2004-05-14 00:00:00",1,842516.584,816877.701
2904,VT4,VS14,,,VS14,,VT4,6,V1m,840048.301,819250.890,22.3122330,114.2135670,Typhoon shelter,"1987-07-03 00:00:00",Y,N,3,13,176,293,176,EWP5,"2004-05-14 00:00:00",1,840049.685,819250.384
2905,VT5,VS15,,,,,,,VH,834925.109,818393.799,22.3045000,114.1638330,Typhoon shelter,"1990-01-18 00:00:00",N,N,2,10,169,287,169,EWP5,"2004-05-14 00:00:00",1,834925.109,818393.799
2906,VT6,VS16,,,,,,,VH,834702.059,819501.189,22.3145000,114.1616670,Typhoon shelter,"1990-01-18 00:00:00",N,N,2,10,252,288,252,EWP5,"2004-05-14 00:00:00",1,834702.059,819501.189
2907,VT7,,,,,,,,VH,829930.107,824356.460,22.3583330,114.1153330,Typhoon shelter,"1977-06-27 00:00:00",N,N,2,10,171,,171,EWP5,"2004-05-14 00:00:00",1,829930.107,824356.460
2908,VT8,VS17,,,,,VT8,5,V1m,829837.856,824098.251,22.3560000,114.1144500,Typhoon shelter,"1977-06-27 00:00:00",Y,N,3,13,172,289,172,EWP5,"2004-05-14 00:00:00",1,829839.040,824098.150
2910,VT10,VS19,,,,,VT10,5,V1m,834237.117,818984.798,22.3098330,114.1571670,Typhoon shelter,"1993-01-08 00:00:00",Y,N,3,13,170,345,170,EWP5,"2004-05-14 00:00:00",1,834238.315,818984.449
2911,VT11,VS20,,,VS20,,VT11,6,V2m,838330.997,819706.424,22.3163500,114.1969000,Typhoon shelter,"1994-01-10 00:00:00",Y,N,3,14,347,350,347,EWP5,"2004-05-14 00:00:00",1,838332.307,819706.011
2912,VT12,VS21,,,,,VT12,5,V1m,832789.801,820533.492,22.3238170,114.1431170,Typhoon shelter,"2000-01-14 00:00:00",Y,N,3,13,400,400,400,EWP5,"2004-05-14 00:00:00",1,832791.000,820533.284
2913,,VS2,,,,,,,VH,840524.162,818468.031,22.3051670,114.2181700,,,N,N,2,10,,259,259,EWP5,"2004-05-14 00:00:00",1,840524.162,818468.031
2981,,,SCI,SCI,,,,,VH,,,,,,,Y,Y,2,10,,,,geomatics,"2011-11-23 00:00:00",1,,
2991,KTS1,KTS1,,,,,,,VH,839149.675,819741.222,22.3166670,114.2048330,Typhoon shelter,"1993-06-28 00:00:00",N,N,2,10,160,160,160,EWP5,"2004-05-14 00:00:00",1,839149.675,819741.222
